,N01,N02,N03,N04,N05
73.5,7,23,30,22,6
74.0,7,23,30,22,6
74.5,7,24,31,23,6
75.0,7,24,32,23,7
75.5,7,24,33,24,6
76.0,7,24,33,25,6
76.5,7,24,33,25,6
77.0,7,24,33,25,6
77.5,7,24,33,24,6
78.0,7,24,33,24,6
78.5,7,24,33,23,6
79.0,7,25,27,22,6
79.5,8,28,28,24,6
80.0,8,29,28,26,6
80.5,9,29,28,26,6
81.0,9,29,28,26,6
81.5,9,29,28,26,6
82.0,9,25,29,26,6
82.5,8,25,29,27,6
83.0,8,25,29,27,6
83.5,8,25,29,28,6
84.0,8,25,28,28,6
84.5,8,25,28,28,6
85.0,8,25,28,23,6
85.5,7,22,28,23,6
86.0,7,22,28,23,6
86.5,7,22,27,23,6
87.0,7,22,27,23,6
87.5,7,22,27,22,6
88.0,7,23,27,23,6
88.5,7,23,28,23,7
89.0,8,23,29,24,7
89.5,7,24,30,24,7
90.0,7,25,30,25,7
90.5,7,25,30,25,7
91.0,7,25,32,24,7
91.5,7,25,30,24,7
92.0,7,24,30,24,7
92.5,7,23,30,24,7
93.0,7,22,30,24,7
93.5,7,22,30,24,7
94.0,7,22,30,24,7
94.5,7,22,30,24,5
95.0,7,22,30,24,5
95.5,7,22,30,24,5
96.0,7,22,30,24,5
96.5,6,19,30,24,5
97.0,6,20,29,23,5
97.5,7,21,31,24,6
98.0,7,21,31,24,6
98.5,7,22,32,25,6
99.0,7,22,32,25,7
99.5,7,22,33,25,7
100.0,7,22,33,24,7
100.5,7,22,33,24,7
101.0,7,23,33,24,7
101.5,7,23,34,23,6
102.0,7,23,34,22,5
102.5,7,23,34,22,5
103.0,7,24,34,22,5
103.5,7,24,34,22,5
104.0,7,24,34,22,5
104.5,7,23,34,22,5
105.0,7,23,28,22,5
105.5,7,23,27,22,5
106.0,7,22,27,22,5
106.5,7,23,27,25,6
107.0,8,25,27,25,6
107.5,8,25,27,25,6
108.0,8,25,28,26,6
108.5,8,25,28,26,6
109.0,8,25,28,26,6
109.5,8,25,29,26,6
110.0,8,23,30,26,6
110.5,8,23,30,27,6
111.0,6,24,29,27,6
111.5,6,23,29,27,6
112.0,6,24,29,26,6
112.5,6,24,29,26,6
113.0,6,24,29,22,6
113.5,6,19,29,22,6
114.0,5,19,29,21,6
114.5,5,19,29,21,6
115.0,5,19,25,21,6
115.5,6,21,25,23,7
116.0,6,22,25,24,7
116.5,7,22,25,25,6
117.0,7,23,25,25,6
117.5,7,24,25,25,6
118.0,7,24,25,25,6
118.5,7,22,25,25,6
119.0,7,22,26,25,6
119.5,7,22,27,25,6
120.0,7,22,27,25,6
120.5,7,22,27,24,6
121.0,7,23,27,24,6
121.5,7,23,27,23,6
122.0,7,23,27,23,6
122.5,7,23,25,23,6
123.0,7,23,25,23,6
123.5,7,23,25,22,6
124.0,7,23,25,22,6
124.5,7,23,25,23,6
125.0,7,20,27,24,6
125.5,7,21,28,24,6
126.0,7,21,29,24,6
126.5,7,21,29,24,6
127.0,7,22,30,24,6
127.5,7,22,30,24,6
128.0,7,22,25,25,6
128.5,7,24,26,25,6
129.0,7,24,26,25,6
129.5,6,24,26,25,6
130.0,6,24,26,26,6
130.5,6,24,26,26,6
131.0,6,24,26,26,6
131.5,6,19,26,26,6
132.0,6,19,26,26,6
132.5,6,19,26,21,6
133.0,6,20,26,21,6
133.5,7,21,27,22,6
134.0,7,21,28,23,7
134.5,7,20,29,25,7
135.0,7,21,29,25,7
135.5,6,22,30,26,7
136.0,6,22,30,26,7
136.5,6,22,31,27,7
137.0,6,22,32,27,7
137.5,6,22,32,24,7
138.0,6,22,31,25,7
138.5,6,23,29,25,7
139.0,6,23,29,25,7
139.5,6,23,28,25,7
140.0,6,23,28,25,7
140.5,6,21,28,25,7
141.0,6,21,28,23,7
141.5,6,21,28,23,7
142.0,6,22,29,23,6
142.5,8,22,30,25,8
143.0,9,22,31,25,9
143.5,9,22,32,26,9
144.0,9,22,30,26,9
144.5,9,23,30,26,9
145.0,9,23,30,27,9
145.5,9,24,30,27,9
146.0,9,24,30,27,9
146.5,9,24,27,27,9
147.0,9,24,26,27,9
147.5,9,24,26,27,9
148.0,9,23,26,27,9
148.5,9,23,26,27,9
149.0,9,23,26,27,9
149.5,9,23,26,27,9
150.0,9,23,25,27,9
150.5,9,23,25,27,9
151.0,9,24,25,27,9
151.5,9,22,26,31,9
152.0,7,24,26,25,9
152.5,8,24,26,26,9
153.0,8,24,26,26,9
153.5,8,24,28,28,9
154.0,8,24,25,28,9
154.5,8,24,25,28,9
155.0,8,24,26,28,9
155.5,8,24,26,27,9
156.0,8,24,26,26,9
156.5,8,24,27,27,9
157.0,8,22,27,27,9
157.5,8,22,27,27,9
158.0,8,22,27,26,9
158.5,8,22,27,26,9
159.0,8,22,27,26,7
159.5,8,22,26,26,7
160.0,8,22,26,26,7
160.5,8,24,28,24,7
161.0,8,25,27,23,7
161.5,8,25,27,23,7
162.0,8,24,29,23,7
162.5,8,24,28,24,7
163.0,8,25,29,22,7
163.5,8,25,29,22,7
164.0,8,26,29,22,7
164.5,8,26,29,22,7
165.0,7,26,29,22,7
165.5,7,26,29,25,7
166.0,7,26,28,26,7
166.5,7,26,28,26,7
167.0,7,26,28,26,7
167.5,7,26,28,26,7
168.0,7,26,26,26,7
168.5,7,26,24,22,7
169.0,7,27,24,23,7
169.5,8,27,25,25,7
170.0,7,27,24,25,7
170.5,7,28,26,25,7
171.0,7,28,26,24,7
171.5,7,26,27,25,7
172.0,7,26,27,25,7
172.5,7,25,27,25,7
173.0,7,24,27,25,7
173.5,6,22,28,25,6
174.0,7,22,29,23,6
174.5,6,22,28,24,6
175.0,6,22,29,24,5
175.5,6,22,29,22,5
176.0,6,22,25,22,5
176.5,6,22,25,22,5
177.0,5,22,23,22,5
177.5,5,22,23,22,5
178.0,5,22,23,22,5
178.5,5,22,23,22,5
179.0,5,22,23,22,5
179.5,5,22,23,22,5
180.0,5,22,23,22,5
180.5,5,22,23,22,5
181.0,5,22,22,22,5
181.5,5,22,22,21,5
182.0,5,20,22,21,5
182.5,5,20,22,21,5
183.0,5,20,21,21,5
183.5,5,18,21,21,5
184.0,5,18,21,21,5
184.5,5,17,21,20,4
185.0,5,17,21,20,4
185.5,5,17,21,20,4
186.0,5,15,20,20,4
186.5,5,15,20,20,4
187.0,5,15,20,18,4
187.5,5,15,20,18,4
188.0,4,15,20,18,4
188.5,4,15,20,18,4
189.0,4,15,20,18,4
189.5,4,15,19,18,4
190.0,4,14,19,15,4
190.5,4,14,19,13,4
191.0,4,14,19,13,4
191.5,4,14,19,13,4
192.0,4,13,19,13,3
192.5,3,13,19,12,3
193.0,3,11,16,11,3
193.5,3,11,16,11,3
194.0,3,11,16,11,3
194.5,3,11,12,11,3
195.0,3,11,12,11,3
195.5,3,11,12,11,3
196.0,3,11,11,9,3
196.5,2,11,11,9,3
197.0,2,11,11,9,3
197.5,2,11,11,9,2
198.0,2,10,11,9,2
198.5,2,10,11,9,2
199.0,2,7,11,9,2
199.5,2,6,11,9,2
200.0,2,6,11,9,2
200.5,1,6,11,8,2
201.0,1,6,6,8,2
201.5,1,6,6,8,2
202.0,1,6,4,8,2
202.5,1,6,4,8,2
203.0,1,6,4,8,2
203.5,1,6,4,7,2
204.0,1,5,4,7,1
204.5,1,5,4,7,1
205.0,1,5,4,7,1
205.5,0,4,4,6,1
206.0,0,3,3,4,1
206.5,0,3,3,4,1
207.0,0,3,3,4,0
207.5,0,1,2,4,0
208.0,0,1,2,4,0
208.5,0,1,2,2,0
209.0,0,1,1,2,0
209.5,0,1,1,2,0
210.0,0,1,1,2,0
210.5,0,1,1,2,0
211.0,0,0,0,2,0
211.5,0,0,0,2,0
212.0,0,0,0,2,0
212.5,0,0,0,2,0
213.0,0,0,0,2,0
213.5,0,0,0,2,0
214.0,0,0,0,2,0
214.5,0,0,0,2,0
215.0,0,0,0,2,0
215.5,0,0,0,2,0
216.0,0,0,0,2,0
216.5,0,0,0,0,0
217.0,0,0,0,0,0
217.5,0,0,0,0,0
218.0,0,0,0,0,0
218.5,0,0,0,0,0
219.0,0,0,0,0,0
219.5,0,0,0,0,0
220.0,0,0,0,0,0
220.5,0,0,0,0,0
221.0,0,0,0,0,0
221.5,0,0,0,0,0
222.0,0,0,0,0,0
222.5,0,0,0,0,0
223.0,0,0,0,0,0
223.5,0,0,0,0,0
224.0,0,0,0,0,0
224.5,0,0,0,0,0
225.0,0,0,0,0,0
225.5,0,0,0,0,0
226.0,0,0,0,0,0
226.5,0,0,0,0,0
227.0,0,0,0,0,0
227.5,0,0,0,0,0
228.0,0,0,0,0,0
228.5,0,0,0,0,0
229.0,0,0,0,0,0
229.5,0,0,0,0,0
230.0,0,0,0,0,0
230.5,0,0,0,0,0
231.0,0,0,0,0,0
231.5,0,0,0,0,0
232.0,0,0,0,0,0
232.5,0,0,0,0,0
233.0,0,0,0,0,0
233.5,0,0,0,0,0
234.0,0,0,0,0,0
234.5,0,0,0,0,0
235.0,0,0,0,0,0
235.5,0,0,0,0,0
236.0,0,0,0,0,0
236.5,0,0,0,0,0
237.0,0,0,0,0,0
237.5,0,0,0,0,0
238.0,0,0,0,0,0
238.5,0,0,0,0,0
239.0,0,0,0,0,0
239.5,0,0,0,0,0
240.0,0,0,0,0,0
240.5,0,0,0,0,0
241.0,0,0,0,0,0
241.5,0,0,0,0,0
242.0,0,0,0,0,0
242.5,0,0,0,0,0
243.0,0,0,0,0,0
243.5,0,0,0,0,0
244.0,0,0,0,0,0
244.5,0,0,0,0,0
245.0,0,0,0,0,0
245.5,0,0,0,0,0
246.0,0,0,0,0,0
246.5,0,0,0,0,0
247.0,0,0,0,0,0
247.5,0,0,0,0,0
248.0,0,0,0,0,0
248.5,0,0,0,0,0
249.0,0,0,0,0,0
249.5,0,0,0,0,0
250.0,0,0,0,0,0
250.5,0,0,0,0,0
251.0,0,0,0,0,0
251.5,0,0,0,0,0
252.0,0,0,0,0,0
252.5,0,0,0,0,0
253.0,0,0,0,0,0
253.5,0,0,0,0,0
254.0,0,0,0,0,0
254.5,0,0,0,0,0
255.0,0,0,0,0,0
255.5,0,0,0,0,0
256.0,0,0,0,0,0
256.5,0,0,0,0,0
257.0,0,0,0,0,0
257.5,0,0,0,0,0
258.0,0,0,0,0,0
258.5,0,0,0,0,0
259.0,0,0,0,0,0
259.5,0,0,0,0,0
260.0,0,0,0,0,0
260.5,0,0,0,0,0
261.0,0,0,0,0,0
261.5,0,0,0,0,0
262.0,0,0,0,0,0
262.5,0,0,0,0,0
263.0,0,0,0,0,0
263.5,0,0,0,0,0
264.0,0,0,0,0,0
264.5,0,0,0,0,0
265.0,0,0,0,0,0
265.5,0,0,0,0,0
266.0,0,0,0,0,0
266.5,0,0,0,0,0
267.0,0,0,0,0,0
267.5,0,0,0,0,0
268.0,0,0,0,0,0
268.5,0,0,0,0,0
269.0,0,0,0,0,0
269.5,0,0,0,0,0
270.0,0,0,0,0,0
270.5,0,0,0,0,0
271.0,0,0,0,0,0
271.5,0,0,0,0,0
272.0,0,0,0,0,0
272.5,0,0,0,0,0
273.0,0,0,0,0,0
273.5,0,0,0,0,0
274.0,0,0,0,0,0
274.5,0,0,0,0,0
275.0,0,0,0,0,0
275.5,0,0,0,0,0
276.0,0,0,0,0,0
276.5,0,0,0,0,0
277.0,0,0,0,0,0
277.5,0,0,0,0,0
278.0,0,0,0,0,0
278.5,0,0,0,0,0
279.0,0,0,0,0,0
279.5,0,0,0,0,0
280.0,0,0,0,0,0
280.5,0,0,0,0,0
281.0,0,0,0,0,0
281.5,0,0,0,0,0
282.0,0,0,0,0,0
282.5,0,0,0,0,0
283.0,0,0,0,0,0
283.5,0,0,0,0,0
284.0,0,0,0,0,0
284.5,0,0,0,0,0
285.0,0,0,0,0,0
285.5,0,0,0,0,0
286.0,0,0,0,0,0
286.5,0,0,0,0,0
287.0,0,0,0,0,0
287.5,0,0,0,0,0
288.0,0,0,0,0,0
288.5,0,0,0,0,0
289.0,0,0,0,0,0
289.5,0,0,0,0,0
290.0,0,0,0,0,0
290.5,0,0,0,0,0
291.0,0,0,0,0,0
291.5,0,0,0,0,0
292.0,0,0,0,0,0
292.5,0,0,0,0,0
293.0,0,0,0,0,0
293.5,0,0,0,0,0
294.0,0,0,0,0,0
294.5,0,0,0,0,0
295.0,0,0,0,0,0
295.5,0,0,0,0,0
296.0,0,0,0,0,0
296.5,0,0,0,0,0
297.0,0,0,0,0,0
297.5,0,0,0,0,0
298.0,0,0,0,0,0
298.5,0,0,0,0,0
299.0,0,0,0,0,0
299.5,0,0,0,0,0
