,C0,C1,C2,C3,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C26,C27,C28,C29
Trondheim/video,0.03571455999999529,,0.023684399999995165,0.026009679999994262,0.022002719999992593,0.018495039999994134,0.02400327999999341,0.02400327999999341,0.023684399999995165,0.020248879999993363,0.022002719999992593,0.02355503999999442,0.026009679999994262,0.02184327999999347,,0.02184327999999347,0.02184327999999347,,0.020248879999993363,0.02355503999999442,0.02760407999999437
Trondheim/video/01,0.040798240000000874,,0.007340640000004228,0.008593920000002697,0.00554120000000502,0.0005443200000030401,0.007599360000005717,0.007599360000005717,0.007340640000004228,0.0033633600000051445,0.00554120000000502,0.007211280000003484,0.008593920000002697,0.0054118400000042755,,0.0054118400000042755,0.0054419200000026535,,0.0033633600000051445,0.007211280000003484,0.009887520000003036
Trondheim/video/02,0.05680856000000034,,0.008630720000002867,0.009884000000001336,0.006830640000000443,0.000715600000003036,0.00888880000000114,0.00888880000000114,0.008630720000002867,0.0046531200000021755,0.006830640000000443,0.008501360000002123,0.009884000000001336,0.0067016000000013065,,0.0067016000000013065,0.0067320000000012925,,0.0046531200000021755,0.008501360000002123,0.011177600000001675
Trondheim/video/03,0.0710390400000005,,0.009988000000003439,0.008175360000000964,0.00820008000000172,0.0008553600000027473,0.010258240000002417,0.010258240000002417,0.00941616000000245,0.006085600000000468,0.00820008000000172,0.004731120000000644,0.008175360000000964,0.00806496000000223,,0.00806496000000223,0.008089280000001864,0.08795384000000084,0.006085600000000468,0.004731120000000644,0.009744960000000802
Trondheim/video/04,,,0.007369599999993426,0.008817199999992198,0.00631679999999335,0.0005263999999982616,0.007632799999992557,0.007632799999992557,0.007501199999992991,0.004605999999995447,0.00631679999999335,0.007501199999992991,0.008817199999992198,0.0061851999999937846,,0.0061851999999937846,0.005921999999994654,,0.004605999999995447,0.007501199999992991,0.010133199999991405
Trondheim/video/05,,,0.0073427199999933634,0.00878503999999225,0.006293759999991266,0.0005244799999957195,0.007604959999991223,0.007604959999991223,0.007473839999992293,0.00458919999999452,0.006293759999991266,0.007473839999992293,0.00878503999999225,0.0061626399999923365,,0.0061626399999923365,0.005900399999994477,,0.00458919999999452,0.007473839999992293,0.010096239999992207
Trondheim/video/06,,,0.007159040000008332,0.008565280000009778,0.006136320000010187,0.0005113600000044016,0.007414720000010533,0.007414720000010533,0.0072868800000094325,0.00447440000000654,0.006136320000010187,0.0072868800000094325,0.008565280000009778,0.0060084800000090866,,0.0060084800000090866,0.005752800000006886,,0.00447440000000654,0.0072868800000094325,0.009843680000010124
Trondheim/video/07,,,0.007723519999995432,0.009240639999994471,0.0066201599999970995,0.0005516800000009425,0.007999359999995903,0.007999359999995903,0.007861439999995667,0.004827199999997589,0.0066201599999970995,0.007861439999995667,0.009240639999994471,0.006482239999996864,,0.006482239999996864,0.006206399999996393,,0.004827199999997589,0.007861439999995667,0.010619839999993275
Trondheim/video/08,,,0.008149119999995236,0.009749839999994236,0.006984959999996931,0.0005820800000009285,0.0084401599999957,0.0084401599999957,0.008294639999995468,0.005093199999997466,0.006984959999996931,0.008294639999995468,0.009749839999994236,0.006839439999996699,,0.006839439999996699,0.006548399999996235,,0.005093199999997466,0.008294639999995468,0.011205039999993005
Trondheim/video/09,,,0.00689920000001365,0.008254400000016204,0.00591360000001373,0.0004928000000035127,0.007145600000015406,0.007145600000015406,0.007022400000014528,0.004312000000009419,0.00591360000001373,0.007022400000014528,0.008254400000016204,0.005790400000012852,,0.005790400000012852,0.005544000000011096,,0.004312000000009419,0.007022400000014528,0.00948640000001788
Trondheim/video/10,,,0.007916160000000616,0.00947112000000061,0.006785280000002558,0.0005654400000025817,0.008198880000001907,0.008198880000001907,0.008057520000001261,0.004947600000001273,0.006785280000002558,0.008057520000001261,0.00947112000000061,0.006643920000001913,,0.006643920000001913,0.006361200000000622,,0.004947600000001273,0.008057520000001261,0.010884719999999959
