,C0,C2,C4,C8,C12,C14,C15,C16,C17,C19,C20,C23,C24,C25,C27,C28
Trondheim/audio/10,0.0006220799999994142,0.0006220799999994142,0.013685759999987113,0.008709119999991799,0.03934655999999137,0.03934655999999137,0.010575359999990042,0.04245695999998844,0.009020159999991506,0.013685759999987113,0.011975039999988724,0.013685759999987113,0.008864639999991653,0.04245695999998844,0.03810239999999254,0.012130559999988577
Trondheim/video,0.0005760000000023524,0.0005760000000023524,0.013474720000001383,0.008064000000006288,0.04208800000000146,0.047848000000003665,0.01059472000000028,0.05072800000000477,0.008352000000007465,0.013474720000001383,0.01190111999999921,0.013474720000001383,0.008208000000006876,0.05072800000000477,0.047848000000003665,0.012034720000000831
Trondheim/video/01,0.0005200000000016303,0.0005518399999999701,0.014184719999999373,0.008774000000004278,0.054497999999998825,0.06025800000000103,0.011290719999998089,0.06285800000000208,0.009034000000005094,0.014184719999999373,0.0126111199999972,0.014184719999999373,0.008904000000004686,0.06285800000000208,0.06025800000000103,0.012744719999998821
Trondheim/video/02,0.0007136799999987176,0.0008277599999999552,0.015700159999994412,0.010333599999993837,0.06910591999999838,0.07486592000000059,0.012781759999995757,0.07778431999999924,0.010625439999992992,0.015700159999994412,0.014095039999995507,0.015700159999994412,0.010479519999993414,0.07778431999999924,0.07486592000000059,0.014240959999995084
Trondheim/video/03,0.0008587199999983142,0.0011187199999991293,0.009509439999991542,0.004142879999990967,0.10381919999999667,0.11846504000000202,0.007888319999993954,0.12136584000000106,0.006353599999998849,0.010512319999994801,0.009069119999994157,0.010512319999994801,0.006484799999999069,0.12136584000000106,0.11846504000000202,0.009200319999994377
Trondheim/video/04,0.0005244800000028249,0.0005244800000028249,0.011538560000005305,0.007342720000004022,0.03317336000000104,0.03317336000000104,0.008916160000005391,0.035795760000000953,0.007604960000005434,0.011538560000005305,0.010096240000004642,0.011538560000005305,0.007473840000004728,0.035795760000000953,0.032124400000002495,0.010227360000005348
Trondheim/video/05,0.0005199999999945248,0.0005199999999945248,0.011439999999993233,0.007279999999994402,0.03289000000000186,0.03289000000000186,0.008839999999992187,0.03549000000000291,0.0075399999999916645,0.011439999999993233,0.01000999999999408,0.011439999999993233,0.007409999999993033,0.03549000000000291,0.0318499999999986,0.01013999999999271
Trondheim/video/06,0.0005990399999973306,0.0005990399999973306,0.013178879999998117,0.008386559999998155,0.03788928000000169,0.03788928000000169,0.010183679999997253,0.040884480000002554,0.00868607999999682,0.013178879999998117,0.011531519999998352,0.013178879999998117,0.008536319999997488,0.040884480000002554,0.036691199999999924,0.011681279999997685
Trondheim/video/07,0.000530560000001401,0.000530560000001401,0.0116723200000024,0.007427840000001851,0.0335579199999998,0.0335579199999998,0.009019520000002501,0.036210719999999696,0.007693120000002551,0.0116723200000024,0.0102132800000021,0.0116723200000024,0.007560480000002201,0.036210719999999696,0.03249680000000055,0.010345920000002451
Trondheim/video/08,0.0005436800000069297,0.0005436800000069297,0.011960960000010346,0.007611520000008198,0.03438776000000132,0.03438776000000132,0.009242560000011224,0.03710616000000044,0.007883360000011663,0.011960960000010346,0.010465840000009052,0.011960960000010346,0.007747440000009931,0.03710616000000044,0.033300400000005226,0.010601760000010785
Trondheim/video/09,0.0005971199999947885,0.0005971199999947885,0.013136639999999034,0.008359679999998093,0.03776784000000433,0.03776784000000433,0.01015103999999667,0.04075344000000669,0.008658239999995487,0.013136639999999034,0.011494559999999154,0.013136639999999034,0.00850895999999679,0.04075344000000669,0.03657360000000054,0.011643839999997851
Trondheim/video/10,0.0004985599999969281,0.0004985599999969281,0.010968319999989262,0.006979839999992521,0.03153391999999755,0.03153391999999755,0.00847551999999041,0.0340267199999964,0.007229119999990985,0.010968319999989262,0.009597279999990604,0.010968319999989262,0.007104479999991753,0.0340267199999964,0.03053679999999659,0.009721919999989836
